experiment_id,area_under_curve,master_cpd_id
2,14.491,411831
2,13.133,411832
2,13.537,411833
2,13.91,411843
2,13.363,411859
2,13.348,411863
2,14.545,411865
2,15.796,411867
2,13.466,411869
2,13.705,411874
2,14.997,414479
2,14.486,415688
2,16.839,416775
2,14.735,416777
2,12.904,416842
2,13.772,417098
2,14.361,417262
2,14.356,417415
2,15.064,417416
2,15.382,417417
2,13.144,417451
2,13.323,417452
2,14.177,417663
2,13.164,417818
2,14.614,417977
2,9.755,417979
2,10.65,417981
2,13.244,417982
2,13.023,418038
2,14.379,418162
2,15.505,418163
2,13.762,418164
2,10.682,418166
2,13.875,418167
2,16.632,418170
2,14.812,418172
2,18.005,418209
2,15.491,425733
2,14.418,429535
2,16.849,431987
2,16.525,434195
2,15.498,435086
2,16.228,435898
2,14.758,436211
2,15.866,437263
2,15.844,437906
2,16.094,438564
2,14.652,438691
2,15.644,438776
2,14.729,442141
2,13.852,444779
2,16.113,446546
2,15.766,446716
2,14.661,447732
2,15.027,448891
2,14.186,449707
2,13.717,450415
2,16.517,452570
2,15.727,463198
2,15.175,464458
2,13.58,464880
2,14.275,481311
2,14.971,594399
2,14.627,594663
2,13.321,594664
2,12.737,594665
2,14.635,595102
2,12.853,596868
2,14.359,600054
2,14.098,606033
2,15.759,606034
2,13.788,606035
2,12.162,606135
2,10.784,606138
2,10.708,606142
2,13.088,606143
2,10.572,606144
2,14.853,606246
2,15,606248
2,9.7288,606249
2,18.066,606254
2,16.39,606256
2,13.719,606356
2,13.889,606363
2,14,606470
2,14.798,606586
2,16.096,606670
2,15.681,608062
2,15.104,608999
2,15.995,609056
2,13.127,609058
2,14.222,609060
2,12.628,609061
2,11.417,609062
2,12.844,609063
2,15,609091
2,15.197,609110
2,13.716,609121
2,13.493,609124
2,13.94,609332
2,11.462,609440
2,16.529,609596
2,14.178,609639
2,16.241,609674
2,15.879,609681
2,13.905,609781
2,16.925,616353
2,14.266,616354
2,15.811,616355
2,14.868,616408
2,15.45,622913
2,13.849,628408
2,13.088,628601
2,11.776,628603
2,11.34,628607
2,14.031,628613
2,11.305,628614
2,14.631,628622
2,15,628639
2,16.471,632103
2,11.135,632104
2,13.507,632119
2,16.733,632243
2,12.776,632873
2,16.569,632907
2,13.756,634309
2,16.276,634814
2,16.248,635576
2,14.435,635882
2,15,636425
2,14.152,636711
2,14.214,639390
2,13.144,639450
2,14.279,639531
2,12.029,639759
2,12.514,639962
2,17.693,640007
